model,dataset,seed,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
deepseek_r1_qwen7b,mmlu_all,2025,8,0.5614375910636231,0.5504290108466893,-0.0110085802169338,0.4809793531894684
deepseek_r1_qwen7b,mmlu_all,2025,16,0.5614375910636231,0.5607900275214506,-0.0006475635421725,0.62384033203125
deepseek_r1_qwen7b,mmlu_all,2025,32,0.5614375910636231,0.539204576115698,-0.022233014947925,0.7699070572853088
deepseek_r1_qwen7b,mmlu_all,2025,64,0.5614375910636231,0.5430899573687334,-0.0183476336948896,0.8509899973869324
deepseek_r1_qwen7b,mmlu_all,2025,128,0.5614375910636231,0.5644595542604285,0.0030219631968053,0.9073094129562378
deepseek_r1_qwen7b,mmlu_all,2025,256,0.5614375910636231,0.5761156980195348,0.0146781069559116,0.954479157924652
falcon3_7b_instruct,arc_challenge,42,8,0.7751111111111111,0.7902222222222223,0.0151111111111111,0.3521766662597656
falcon3_7b_instruct,arc_challenge,42,16,0.7751111111111111,0.7608888888888887,-0.0142222222222223,0.4949840307235718
falcon3_7b_instruct,arc_challenge,42,32,0.7751111111111111,0.7546666666666667,-0.0204444444444443,0.6250129342079163
falcon3_7b_instruct,arc_challenge,42,64,0.7751111111111111,0.7102222222222222,-0.0648888888888888,0.7633883357048035
falcon3_7b_instruct,arc_challenge,42,128,0.7751111111111111,0.7244444444444444,-0.0506666666666666,0.908273696899414
falcon3_7b_instruct,arc_challenge,42,256,0.7751111111111111,0.7662222222222222,-0.0088888888888888,0.9999999403953552
falcon3_7b_instruct,arc_challenge,7,8,0.8248888888888889,0.8293333333333334,0.0044444444444444,0.3524746298789978
falcon3_7b_instruct,arc_challenge,7,16,0.8248888888888889,0.8186666666666667,-0.0062222222222222,0.4928983449935913
falcon3_7b_instruct,arc_challenge,7,32,0.8248888888888889,0.8328888888888889,0.008,0.6227774620056152
falcon3_7b_instruct,arc_challenge,7,64,0.8248888888888889,0.8577777777777779,0.0328888888888889,0.7621107697486877
falcon3_7b_instruct,arc_challenge,7,128,0.8248888888888889,0.8293333333333334,0.0044444444444444,0.9080603718757628
falcon3_7b_instruct,arc_challenge,7,256,0.8248888888888889,0.8497777777777779,0.0248888888888889,1.0
falcon3_7b_instruct,arc_challenge,123,8,0.8622222222222222,0.8799999999999999,0.0177777777777776,0.3488672971725464
falcon3_7b_instruct,arc_challenge,123,16,0.8622222222222222,0.8764444444444444,0.0142222222222221,0.4912871420383453
falcon3_7b_instruct,arc_challenge,123,32,0.8622222222222222,0.8302222222222223,-0.0319999999999999,0.6229395270347595
falcon3_7b_instruct,arc_challenge,123,64,0.8622222222222222,0.8,-0.0622222222222221,0.7618995308876038
falcon3_7b_instruct,arc_challenge,123,128,0.8622222222222222,0.7857777777777777,-0.0764444444444445,0.9073529243469238
falcon3_7b_instruct,arc_challenge,123,256,0.8622222222222222,0.8231111111111111,-0.039111111111111,1.0
falcon3_7b_instruct,arc_challenge,777,8,0.8079999999999999,0.8222222222222222,0.0142222222222222,0.3570364415645599
falcon3_7b_instruct,arc_challenge,777,16,0.8079999999999999,0.8195555555555556,0.0115555555555556,0.5010319352149963
falcon3_7b_instruct,arc_challenge,777,32,0.8079999999999999,0.8337777777777778,0.0257777777777779,0.6287732720375061
falcon3_7b_instruct,arc_challenge,777,64,0.8079999999999999,0.8302222222222222,0.0222222222222222,0.7660623788833618
falcon3_7b_instruct,arc_challenge,777,128,0.8079999999999999,0.8035555555555556,-0.0044444444444443,0.9095370173454284
falcon3_7b_instruct,arc_challenge,777,256,0.8079999999999999,0.7946666666666666,-0.0133333333333333,1.0
falcon3_7b_instruct,arc_challenge,2025,8,0.8488888888888889,0.8355555555555556,-0.0133333333333333,0.3489471971988678
falcon3_7b_instruct,arc_challenge,2025,16,0.8488888888888889,0.8311111111111111,-0.0177777777777777,0.4921917021274566
