model,dataset,seed,combined_auroc,drop_when_permute_cheap,drop_when_permute_hidden
falcon3_7b_instruct,mmlu_all,42,0.8288787483702739,0.175445458496306,0.1561557086980816
falcon3_7b_instruct,mmlu_all,7,0.8213354442168002,0.1313978394486869,0.1619156267461352
falcon3_7b_instruct,mmlu_all,123,0.7505587632706276,0.1672083566151362,0.0441283292978208
falcon3_7b_instruct,mmlu_all,777,0.8042466008567704,0.1740454460793444,0.147358291426088
falcon3_7b_instruct,mmlu_all,2025,0.7944216800149003,0.1503740609672812,0.1843918793071335
mistral7b_v03,arc_challenge,42,0.515,0.0546190476190476,-0.0650238095238095
mistral7b_v03,arc_challenge,7,0.7064285714285715,0.1001190476190477,0.0619285714285715
mistral7b_v03,arc_challenge,123,0.5778571428571428,0.0659523809523809,0.0082619047619047
mistral7b_v03,arc_challenge,777,0.6735714285714286,0.0796190476190476,0.0812380952380952
mistral7b_v03,arc_challenge,2025,0.6421428571428571,0.0382142857142856,0.078047619047619
mistral7b_v03,commonsenseqa,42,0.6960227272727272,0.0983740708976557,0.1377054745568895
mistral7b_v03,commonsenseqa,7,0.7529481132075471,0.1269350343053172,0.2245354488279015
mistral7b_v03,commonsenseqa,123,0.7405124356775301,0.0839944253859349,0.2085191538021727
mistral7b_v03,commonsenseqa,777,0.7346162092624358,0.0843178244711264,0.210845483133219
mistral7b_v03,commonsenseqa,2025,0.7349378216123499,0.0976379359634076,0.2453741423670669
mistral7b_v03,hellaswag,42,0.7380330267558529,0.13384371516165,0.2018446906354516
mistral7b_v03,hellaswag,7,0.7049017558528428,0.0888308249721292,0.1491621376811593
mistral7b_v03,hellaswag,123,0.7150919732441471,0.0539924749163878,0.1771303651059085
mistral7b_v03,hellaswag,777,0.7637959866220736,0.0738694955406912,0.2492927814938684
mistral7b_v03,hellaswag,2025,0.7952550167224081,0.1286928651059086,0.2590823578595318
mistral7b_v03,mmlu_all,42,0.7845699247426012,0.1608415285408683,0.18796189420872
mistral7b_v03,mmlu_all,7,0.7156840112655247,0.1479461963463995,0.0913754097603767
mistral7b_v03,mmlu_all,123,0.6961540237314743,0.1587807993597735,0.0553026455515029
