model,dataset,seed,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
deepseek_r1_qwen7b,mmlu_all,42,final,0.5493497382764018,0.4460633532998759,0.5018077815552319,-0.0475419567211699
deepseek_r1_qwen7b,mmlu_all,42,all,0.5493497382764018,0.4579353515730398,0.5054233446656953,-0.0439263936107064
deepseek_r1_qwen7b,mmlu_all,7,early,0.5747666073066752,0.5553397010414981,0.5996978036803196,0.0249311963736443
deepseek_r1_qwen7b,mmlu_all,7,middle,0.5747666073066752,0.5022934542118612,0.5489719928768011,-0.025794614429874
deepseek_r1_qwen7b,mmlu_all,7,late,0.5747666073066752,0.4913928012519561,0.5349414494630619,-0.0398251578436132
deepseek_r1_qwen7b,mmlu_all,7,final,0.5747666073066752,0.5443850844530786,0.5786519885597108,0.0038853812530356
deepseek_r1_qwen7b,mmlu_all,7,all,0.5747666073066752,0.5092547622902164,0.5561491554692137,-0.0186174518374614
deepseek_r1_qwen7b,mmlu_all,123,early,0.6413577248934219,0.5355350493767201,0.6056877664454158,-0.0356699584480061
deepseek_r1_qwen7b,mmlu_all,123,middle,0.6413577248934219,0.4646808051373374,0.5332146133506017,-0.1081431115428201
deepseek_r1_qwen7b,mmlu_all,123,late,0.6413577248934219,0.5197237062220064,0.5761696616480492,-0.0651880632453727
deepseek_r1_qwen7b,mmlu_all,123,final,0.6413577248934219,0.4855107657438887,0.5442231935675356,-0.0971345313258863
deepseek_r1_qwen7b,mmlu_all,123,all,0.6413577248934219,0.4844854568021153,0.5506988289892611,-0.0906588959041607
deepseek_r1_qwen7b,mmlu_all,777,early,0.5282499595272785,0.3949058334682424,0.4430413901030705,-0.085208569424208
deepseek_r1_qwen7b,mmlu_all,777,middle,0.5282499595272785,0.4224272840105769,0.4618746964545897,-0.0663752630726888
deepseek_r1_qwen7b,mmlu_all,777,late,0.5282499595272785,0.4715341859586638,0.5199935243645782,-0.0082564351627002
deepseek_r1_qwen7b,mmlu_all,777,final,0.5282499595272785,0.4729372403000377,0.4896659651394959,-0.0385839943877825
deepseek_r1_qwen7b,mmlu_all,777,all,0.5282499595272785,0.4199989207274298,0.4481139711834223,-0.0801359883438561
deepseek_r1_qwen7b,mmlu_all,2025,early,0.5614375910636231,0.583778533268577,0.5859370784091522,0.024499487345529
deepseek_r1_qwen7b,mmlu_all,2025,middle,0.5614375910636231,0.5197237062220064,0.529167341212023,-0.0322702498516001
deepseek_r1_qwen7b,mmlu_all,2025,late,0.5614375910636231,0.5133559980573094,0.5357509038907775,-0.0256866871728456
deepseek_r1_qwen7b,mmlu_all,2025,final,0.5614375910636231,0.5313798499811127,0.5657546813447737,0.0043170902811505
deepseek_r1_qwen7b,mmlu_all,2025,all,0.5614375910636231,0.5236090874750418,0.5430899573687334,-0.0183476336948896
falcon3_7b_instruct,arc_challenge,42,early,0.7751111111111111,0.4631111111111111,0.7022222222222222,-0.0728888888888888
falcon3_7b_instruct,arc_challenge,42,middle,0.7751111111111111,0.4017777777777778,0.7226666666666667,-0.0524444444444444
falcon3_7b_instruct,arc_challenge,42,late,0.7751111111111111,0.6826666666666668,0.7297777777777777,-0.0453333333333333
falcon3_7b_instruct,arc_challenge,42,final,0.7751111111111111,0.6977777777777778,0.7146666666666667,-0.0604444444444444
falcon3_7b_instruct,arc_challenge,42,all,0.7751111111111111,0.6782222222222223,0.7102222222222222,-0.0648888888888888
falcon3_7b_instruct,arc_challenge,7,early,0.8248888888888889,0.6160000000000001,0.7928888888888889,-0.032
falcon3_7b_instruct,arc_challenge,7,middle,0.8248888888888889,0.5946666666666667,0.8204444444444445,-0.0044444444444443
falcon3_7b_instruct,arc_challenge,7,late,0.8248888888888889,0.8213333333333335,0.8648888888888888,0.0399999999999999
falcon3_7b_instruct,arc_challenge,7,final,0.8248888888888889,0.7537777777777778,0.8186666666666668,-0.0062222222222221
falcon3_7b_instruct,arc_challenge,7,all,0.8248888888888889,0.8142222222222222,0.8577777777777779,0.0328888888888889
