model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_confidence_option,hgb,299,90,0.8219696969696969,0.8231237510237773,0.7133535506718073,0.9044340924775707,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,hidden_summary_only,logreg,299,90,0.783459595959596,0.7831825259359481,0.6726364563782865,0.8801824866310161,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,hidden_summary_only,mlp,299,90,0.6344696969696969,0.6371861111017598,0.495339683880984,0.749485124890002,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,hidden_summary_only,extratrees,299,90,0.7398989898989898,0.7422691738400757,0.6307268007787151,0.8497538485819736,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,hidden_summary_only,hgb,299,90,0.7304292929292929,0.736238793958706,0.6147204117862037,0.8405605160715339,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_hidden_summary,logreg,299,90,0.841540404040404,0.8409247009141235,0.7573845425407926,0.925992348827643,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_hidden_summary,mlp,299,90,0.7821969696969697,0.7797917216592416,0.6531310837118753,0.8855271464646464,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_hidden_summary,extratrees,299,90,0.8478535353535354,0.8479488353950532,0.7407250788088446,0.9314557128869473,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_hidden_summary,hgb,299,90,0.8358585858585859,0.8394717573728933,0.7477240593768372,0.91790321695213,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,pca_hidden_embeddings,logreg,299,90,0.8345959595959597,0.8324489619063169,0.7235187083357915,0.9318521797037422,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,pca_hidden_embeddings,mlp,299,90,0.6262626262626262,0.6231472467212413,0.48630024038461533,0.7601851851851851,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,pca_hidden_embeddings,extratrees,299,90,0.7935606060606062,0.7916656776327111,0.6754857603815938,0.9019891826923075,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,pca_hidden_embeddings,hgb,299,90,0.7714646464646464,0.7716940856875013,0.6565541855937703,0.8802795031055901,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_pca_hidden,logreg,299,90,0.8434343434343433,0.8423136125638234,0.7485627403846155,0.9367132650335775,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_pca_hidden,mlp,299,90,0.8731060606060607,0.8715750670166854,0.7823019822407078,0.9395281497650089,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_pca_hidden,extratrees,299,90,0.8510101010101011,0.8506279795077722,0.7520525721600455,0.9435712875359933,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_plus_pca_hidden,hgb,299,90,0.8503787878787878,0.8503232756864194,0.7482789855072463,0.9452685165830546,0.7357859531772575,64.0,0.7503740191459656
olmo2_7b_instruct,OLMo,arc_challenge,7,direct_pmax,none,299,90,0.7297979797979799,0.7306503582554595,0.5797649216526,0.8449161190760653,,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_confidence_option,logreg,299,90,0.7108585858585859,0.7102963059042933,0.5607885777598711,0.8203423342786246,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_confidence_option,mlp,299,90,0.7455808080808081,0.7466284725036375,0.6065732533500463,0.8535833916083916,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_confidence_option,extratrees,299,90,0.6729797979797979,0.6749734627736597,0.5287466862861882,0.797653894293679,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_confidence_option,hgb,299,90,0.6016414141414141,0.6048136539427426,0.4762376269285983,0.7370045106615637,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,hidden_summary_only,logreg,299,90,0.6218434343434344,0.6174521676159331,0.48188475266430436,0.7372887925027871,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,hidden_summary_only,mlp,299,90,0.5505050505050505,0.5483818989873251,0.3889585284280937,0.7031424967461817,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,hidden_summary_only,extratrees,299,90,0.6231060606060606,0.6169894549449363,0.49269488804095224,0.7359626025150355,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,hidden_summary_only,hgb,299,90,0.547979797979798,0.5448294026460602,0.3980953282828283,0.6943246231006646,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_hidden_summary,logreg,299,90,0.6906565656565656,0.6894509429230579,0.5551253080148081,0.8091800958973249,0.7357859531772575,,
