model_key,dataset,seed,pca_dim,cheap_auc,cheap_plus_pca_auc,gain,pca_explained_variance,n_total
deepseek_r1_qwen7b,hellaswag,42,64,0.5007862093063886,0.5845320598683829,0.08374585056199424,0.7699238657951355,1000
deepseek_r1_qwen7b,hellaswag,42,128,0.5007862093063886,0.556112049385592,0.05532584007920338,0.8477468490600586,1000
deepseek_r1_qwen7b,hellaswag,42,256,0.5007862093063886,0.5733504163997438,0.0725642070933552,0.9209398031234741,1000
deepseek_r1_qwen7b,hellaswag,7,8,0.5739327936637354,0.5964125560538116,0.022479762390076208,0.5324424505233765,1000
deepseek_r1_qwen7b,hellaswag,7,16,0.5739327936637354,0.6025275173257236,0.02859472366198823,0.6064138412475586,1000
deepseek_r1_qwen7b,hellaswag,7,32,0.5739327936637354,0.6119037912759885,0.03797099761225309,0.6892303228378296,1000
deepseek_r1_qwen7b,hellaswag,7,64,0.5739327936637354,0.6089336672296314,0.035000873565895985,0.7706681489944458,1000
deepseek_r1_qwen7b,hellaswag,7,128,0.5739327936637354,0.6101566594840138,0.03622386582027837,0.8485753536224365,1000
deepseek_r1_qwen7b,hellaswag,7,256,0.5739327936637354,0.6047987886552909,0.030865994991555512,0.9209578037261963,1000
deepseek_r1_qwen7b,hellaswag,123,8,0.5230912585172675,0.543125036398579,0.020033777881311554,0.5295272469520569,1000
deepseek_r1_qwen7b,hellaswag,123,16,0.5230912585172675,0.5396890105410285,0.016597752023761014,0.6047300100326538,1000
deepseek_r1_qwen7b,hellaswag,123,32,0.5230912585172675,0.6056141168248792,0.08252285830761175,0.6876326203346252,1000
deepseek_r1_qwen7b,hellaswag,123,64,0.5230912585172675,0.5684002096558151,0.045308951138547604,0.7696726322174072,1000
deepseek_r1_qwen7b,hellaswag,123,128,0.5230912585172675,0.5656630365150543,0.042571777997786886,0.847790002822876,1000
deepseek_r1_qwen7b,hellaswag,123,256,0.5230912585172675,0.589656979791509,0.06656572127424154,0.9208808541297913,1000
deepseek_r1_qwen7b,hellaswag,777,8,0.49327354260089684,0.5260031448372255,0.0327296022363287,0.5322169065475464,1000
deepseek_r1_qwen7b,hellaswag,777,16,0.49327354260089684,0.5331081474579232,0.03983460485702639,0.6070803999900818,1000
deepseek_r1_qwen7b,hellaswag,777,32,0.49327354260089684,0.5328169588259274,0.03954341622503055,0.6902175545692444,1000
deepseek_r1_qwen7b,hellaswag,777,64,0.49327354260089684,0.5386989691922428,0.04542542659134596,0.7717478275299072,1000
deepseek_r1_qwen7b,hellaswag,777,128,0.49327354260089684,0.522567118979675,0.029293576378778163,0.8492857217788696,1000
deepseek_r1_qwen7b,hellaswag,777,256,0.49327354260089684,0.5290897443363811,0.03581620173548428,0.9215468168258667,1000
deepseek_r1_qwen7b,hellaswag,2025,8,0.5543066798672179,0.5172092481509523,-0.03709743171626567,0.5282156467437744,1000
deepseek_r1_qwen7b,hellaswag,2025,16,0.5543066798672179,0.5219265039892842,-0.03238017587793374,0.6044093370437622,1000
deepseek_r1_qwen7b,hellaswag,2025,32,0.5543066798672179,0.5110942868790402,-0.043212392988177695,0.6878765821456909,1000
deepseek_r1_qwen7b,hellaswag,2025,64,0.5543066798672179,0.5014268242967794,-0.052879855570438505,0.7696080803871155,1000
deepseek_r1_qwen7b,hellaswag,2025,128,0.5543066798672179,0.4953701007512667,-0.05893657911595124,0.8476360440254211,1000
deepseek_r1_qwen7b,hellaswag,2025,256,0.5543066798672179,0.5097548191718596,-0.044551860695358325,0.9206105470657349,1000
deepseek_r1_qwen7b,mmlu_all,42,8,0.5493497382764018,0.5224758512762397,-0.026873887000162022,0.4806552529335022,1000
deepseek_r1_qwen7b,mmlu_all,42,16,0.5493497382764018,0.514705088770169,-0.034644649506232805,0.6190846562385559,1000
deepseek_r1_qwen7b,mmlu_all,42,32,0.5493497382764018,0.5029949813825483,-0.04635475689385349,0.7703949213027954,1000
