model_key,dataset,signal,seed,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,hellaswag,cheap_plus_hidden_summary__mlp,594.8,0.7434001077856368,0.3478920322381044,0.3955080755475324,0.7433333333333334,0.25666666666666665,0.731111111111111,0.2688888888888889,0.7366666666666667,0.2633333333333333,0.2,0.4098654708520179,0.6035874439461884
deepseek_r1_qwen7b,hellaswag,cheap_plus_pca_hidden__extratrees,594.8,0.7352083134730956,0.3397002379255632,0.3955080755475324,0.7458333333333333,0.2541666666666667,0.7388888888888889,0.2611111111111111,0.7283333333333333,0.27166666666666667,0.19730941704035873,0.40358744394618834,0.6080717488789238
deepseek_r1_qwen7b,hellaswag,cheap_plus_pca_hidden__hgb,594.8,0.7205308519624612,0.3250227764149288,0.3955080755475324,0.7391666666666666,0.26083333333333336,0.7355555555555555,0.2644444444444445,0.7266666666666667,0.2733333333333333,0.20448430493273545,0.4062780269058296,0.6089686098654709
deepseek_r1_qwen7b,hellaswag,cheap_plus_pca_hidden__logreg,594.8,0.7003623900607441,0.3048543145132117,0.3955080755475324,0.7358333333333333,0.26416666666666666,0.7211111111111111,0.27888888888888885,0.6983333333333334,0.30166666666666664,0.20807174887892374,0.41793721973094167,0.6242152466367713
deepseek_r1_qwen7b,hellaswag,cheap_plus_pca_hidden__mlp,594.8,0.7410781912543833,0.34557011570685087,0.3955080755475324,0.7491666666666668,0.25083333333333335,0.7344444444444445,0.26555555555555554,0.74,0.26,0.19372197309417039,0.4071748878923767,0.6017937219730942
deepseek_r1_qwen7b,hellaswag,direct_pmax,594.8,0.7381506500559214,0.342642574508389,0.3955080755475324,0.75,0.25,0.75,0.25,0.75,0.25,0.19282511210762332,0.39461883408071746,0.5964125560538116
deepseek_r1_qwen7b,hellaswag,hidden_summary_only__extratrees,594.8,0.7444617295362953,0.3489536539887628,0.3955080755475324,0.7566666666666666,0.24333333333333332,0.7566666666666666,0.24333333333333335,0.7383333333333333,0.26166666666666666,0.18565022421524663,0.389237668161435,0.6026905829596412
deepseek_r1_qwen7b,hellaswag,hidden_summary_only__hgb,594.8,0.767767873255578,0.3722597977080456,0.3955080755475324,0.7583333333333334,0.24166666666666664,0.768888888888889,0.2311111111111111,0.765,0.23499999999999996,0.18385650224215247,0.379372197309417,0.5883408071748879
deepseek_r1_qwen7b,hellaswag,hidden_summary_only__logreg,594.8,0.7099209084953648,0.31441283294783234,0.3955080755475324,0.7308333333333333,0.26916666666666667,0.7355555555555555,0.2644444444444445,0.7166666666666667,0.2833333333333333,0.21345291479820627,0.4062780269058296,0.6143497757847534
deepseek_r1_qwen7b,hellaswag,hidden_summary_only__mlp,594.8,0.7494566026147002,0.35394852706716773,0.3955080755475324,0.7416666666666667,0.2583333333333333,0.7422222222222222,0.2577777777777778,0.7516666666666667,0.24833333333333335,0.20179372197309417,0.40089686098654714,0.5955156950672646
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings__extratrees,594.8,0.7456842703858496,0.35017619483831713,0.3955080755475324,0.7466666666666667,0.2533333333333333,0.7433333333333334,0.25666666666666665,0.7433333333333334,0.25666666666666665,0.19641255605381164,0.4,0.6
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings__hgb,594.8,0.7333901941874094,0.3378821186398769,0.3955080755475324,0.7425,0.25749999999999995,0.7377777777777779,0.26222222222222225,0.73,0.27,0.20089686098654708,0.4044843049327354,0.6071748878923767
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings__logreg,594.8,0.7203702792539814,0.32486220370644897,0.3955080755475324,0.7474999999999999,0.2525,0.7322222222222222,0.2677777777777778,0.7150000000000001,0.285,0.19551569506726457,0.4089686098654709,0.6152466367713004
