model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
falcon3_7b_instruct,arc_challenge,cheap_plus_pca_hidden,mlp,5,0.6266666666666667,0.16347945089275753,0.4794382242341261,0.7639771322724871
falcon3_7b_instruct,arc_challenge,direct_pmax,none,5,0.8385777777777778,0.032723910539354195,0.7038378886548378,0.9375119768262362
falcon3_7b_instruct,arc_challenge,hidden_summary_only,extratrees,5,0.7386666666666667,0.0679229774391371,0.5780343071804598,0.8666438831252586
falcon3_7b_instruct,arc_challenge,hidden_summary_only,hgb,5,0.7144888888888888,0.08405383342584835,0.5668399988567512,0.8540784695739883
falcon3_7b_instruct,arc_challenge,hidden_summary_only,logreg,5,0.7242666666666666,0.05511971259040982,0.557557617735571,0.8627374241128644
falcon3_7b_instruct,arc_challenge,hidden_summary_only,mlp,5,0.38791111111111115,0.1403425790919236,0.23534284611412476,0.5414856290672242
falcon3_7b_instruct,arc_challenge,pca_hidden_embeddings,extratrees,5,0.7633777777777777,0.06714024386073535,0.6033862126887192,0.892868287335352
falcon3_7b_instruct,arc_challenge,pca_hidden_embeddings,hgb,5,0.7315555555555556,0.103724230772673,0.5614987613236597,0.8767665576980134
falcon3_7b_instruct,arc_challenge,pca_hidden_embeddings,logreg,5,0.8007111111111112,0.08520221407892295,0.6510081131833223,0.920405257616155
falcon3_7b_instruct,arc_challenge,pca_hidden_embeddings,mlp,5,0.4928,0.13187888195678962,0.31907814842245513,0.6501968570496102
falcon3_7b_instruct,commonsenseqa,cheap_confidence_option,extratrees,5,0.8005698005698004,0.04228176749232683,0.7442110598801996,0.8509453043586699
falcon3_7b_instruct,commonsenseqa,cheap_confidence_option,hgb,5,0.7652939652939653,0.035244127009361234,0.7025347805588696,0.8211240554927853
falcon3_7b_instruct,commonsenseqa,cheap_confidence_option,logreg,5,0.8241647241647241,0.03492405053365645,0.7719575687583171,0.872770226301706
falcon3_7b_instruct,commonsenseqa,cheap_confidence_option,mlp,5,0.7557498057498058,0.07857904433948974,0.6964090738444267,0.8137630154228637
falcon3_7b_instruct,commonsenseqa,cheap_plus_hidden_summary,extratrees,5,0.8301217301217301,0.042623315645002414,0.7793986594603532,0.8788220487419558
falcon3_7b_instruct,commonsenseqa,cheap_plus_hidden_summary,hgb,5,0.78996373996374,0.03767759476998075,0.7324063991925617,0.8449026763036571
falcon3_7b_instruct,commonsenseqa,cheap_plus_hidden_summary,logreg,5,0.8170940170940171,0.027402147841540856,0.7611226669815567,0.8689620389608628
falcon3_7b_instruct,commonsenseqa,cheap_plus_hidden_summary,mlp,5,0.7816627816627817,0.0467246534973434,0.7226917495746664,0.8408246665365844
falcon3_7b_instruct,commonsenseqa,cheap_plus_pca_hidden,extratrees,5,0.8280756280756281,0.04630081046884288,0.7789918167814246,0.8779825929385707
falcon3_7b_instruct,commonsenseqa,cheap_plus_pca_hidden,hgb,5,0.7918932918932919,0.03438874658748269,0.7354746887063509,0.8464970010566801
falcon3_7b_instruct,commonsenseqa,cheap_plus_pca_hidden,logreg,5,0.8122248122248121,0.018900587155933346,0.7556938813572889,0.8639449714327683
falcon3_7b_instruct,commonsenseqa,cheap_plus_pca_hidden,mlp,5,0.7405335405335405,0.04268226336656883,0.6796609712552895,0.8030982413634614
falcon3_7b_instruct,commonsenseqa,direct_pmax,none,5,0.8135586635586636,0.04768547961265473,0.7619984516322255,0.8672750759409616
falcon3_7b_instruct,commonsenseqa,hidden_summary_only,extratrees,5,0.7382284382284382,0.028328778621877545,0.672480639153382,0.7974146122792701
falcon3_7b_instruct,commonsenseqa,hidden_summary_only,hgb,5,0.7012820512820512,0.025751752802209968,0.6352608260890358,0.7652215234421732
falcon3_7b_instruct,commonsenseqa,hidden_summary_only,logreg,5,0.7388111888111888,0.023180043880396028,0.6777976154253867,0.7950465527690802
falcon3_7b_instruct,commonsenseqa,hidden_summary_only,mlp,5,0.6187127687127687,0.11836622299591097,0.5453360907352985,0.6855927658624394
falcon3_7b_instruct,commonsenseqa,pca_hidden_embeddings,extratrees,5,0.768104118104118,0.032836219179661265,0.7118959501794999,0.8243596631527857
falcon3_7b_instruct,commonsenseqa,pca_hidden_embeddings,hgb,5,0.7357808857808859,0.01775017654048741,0.6733044010938399,0.7974577016806058
falcon3_7b_instruct,commonsenseqa,pca_hidden_embeddings,logreg,5,0.7648925148925149,0.024937392765989906,0.7050607092327715,0.8210010664386473
falcon3_7b_instruct,commonsenseqa,pca_hidden_embeddings,mlp,5,0.6677803677803678,0.12399403587146939,0.5965551814491337,0.7372582251178807
falcon3_7b_instruct,hellaswag,cheap_confidence_option,extratrees,5,0.799537037037037,0.03532643160323532,0.7429328645693445,0.8520536851497763
falcon3_7b_instruct,hellaswag,cheap_confidence_option,hgb,5,0.7794712475633527,0.012846917493291931,0.7159840562021503,0.8355579122866821
falcon3_7b_instruct,hellaswag,cheap_confidence_option,logreg,5,0.810428849902534,0.032543210982952805,0.7552804856439497,0.8627512182169166
falcon3_7b_instruct,hellaswag,cheap_confidence_option,mlp,5,0.790692007797271,0.048801483082276866,0.7328825414114665,0.8477280124447881
