model_key,model_family,dataset,seed,signal,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_confidence_option__mlp,0.6476855241014718,0.3310920502412749,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6296296296296297,0.37037037037037035,0.6111111111111112,0.38888888888888884,0.21311475409836064,0.4426229508196721,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_confidence_option__extratrees,0.609055434245377,0.2924619603851801,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.5740740740740741,0.42592592592592593,0.6111111111111112,0.38888888888888884,0.22950819672131148,0.4918032786885246,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_confidence_option__hgb,0.6268165993191885,0.3102231254589916,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.6851851851851852,0.31481481481481477,0.6388888888888888,0.36111111111111116,0.19672131147540983,0.39344262295081966,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,hidden_summary_only__logreg,0.6832304063504958,0.3666369324902989,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6296296296296297,0.37037037037037035,0.5833333333333334,0.41666666666666663,0.22950819672131148,0.4426229508196721,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,hidden_summary_only__mlp,0.6828866832244446,0.36629320936424764,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.7037037037037037,0.2962962962962963,0.6666666666666666,0.33333333333333337,0.19672131147540983,0.3770491803278688,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,hidden_summary_only__extratrees,0.6849408737631936,0.36834739990299664,0.31659347386019693,0.7222222222222222,0.2777777777777778,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.14754098360655737,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,hidden_summary_only__hgb,0.7133046635515885,0.3967111896913916,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7037037037037037,0.2962962962962963,0.7222222222222222,0.2777777777777778,0.18032786885245902,0.3770491803278688,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_plus_hidden_summary__logreg,0.5866893593161724,0.27009588545597546,0.31659347386019693,0.625,0.375,0.5555555555555556,0.4444444444444444,0.6111111111111112,0.38888888888888884,0.26229508196721313,0.5081967213114754,0.639344262295082
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_plus_hidden_summary__mlp,0.6440503585577677,0.3274568846975708,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6481481481481481,0.35185185185185186,0.6666666666666666,0.33333333333333337,0.22950819672131148,0.4262295081967213,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,777,cheap_plus_hidden_summary__extratrees,0.6073460901061329,0.290752616245936,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6111111111111112,0.38888888888888884,0.5833333333333334,0.41666666666666663,0.22950819672131148,0.45901639344262296,0.6557377049180327
