model_key,dataset,seed,layer,cheap_auc,hidden_only_auc,cheap_plus_layer_auc,gain_over_cheap,pca_explained_variance,n_total
falcon3_7b_instruct,hellaswag,123,all,0.7927022417153996,0.7690667641325536,0.8068957115009746,0.014193469785575008,0.7513828873634338,1000
falcon3_7b_instruct,hellaswag,777,early,0.7793006822612085,0.5936890838206628,0.7699805068226121,-0.009320175438596423,0.8654812574386597,1000
falcon3_7b_instruct,hellaswag,777,middle,0.7793006822612085,0.5988669590643275,0.7739400584795321,-0.005360623781676455,0.8311295509338379,1000
falcon3_7b_instruct,hellaswag,777,late,0.7793006822612085,0.7646807992202728,0.7868542884990253,0.007553606237816757,0.820704996585846,1000
falcon3_7b_instruct,hellaswag,777,final,0.7793006822612085,0.7649853801169589,0.7885599415204678,0.0092592592592593,0.7723489999771118,1000
falcon3_7b_instruct,hellaswag,777,all,0.7793006822612085,0.7499390838206628,0.7825292397660818,0.003228557504873275,0.7517558336257935,1000
falcon3_7b_instruct,hellaswag,2025,early,0.8391203703703703,0.5508040935672514,0.7855141325536061,-0.05360623781676421,0.865960955619812,1000
falcon3_7b_instruct,hellaswag,2025,middle,0.8391203703703703,0.5445297270955166,0.7850268031189084,-0.05409356725146197,0.831663966178894,1000
falcon3_7b_instruct,hellaswag,2025,late,0.8391203703703703,0.7810672514619883,0.8441764132553606,0.005056042884990286,0.8217867016792297,1000
falcon3_7b_instruct,hellaswag,2025,final,0.8391203703703703,0.8083576998050682,0.8284600389863548,-0.010660331384015564,0.7731118202209473,1000
falcon3_7b_instruct,hellaswag,2025,all,0.8391203703703703,0.7551778752436646,0.8298001949317738,-0.009320175438596534,0.7530062198638916,1000
falcon3_7b_instruct,mmlu_all,42,early,0.828971875582045,0.6364313652449245,0.792791953808903,-0.036179921773142,0.9179390668869019,1000
falcon3_7b_instruct,mmlu_all,42,middle,0.828971875582045,0.7380331532873905,0.8225926615757124,-0.0063792140063325675,0.8619774580001831,1000
falcon3_7b_instruct,mmlu_all,42,late,0.828971875582045,0.8278077854349042,0.8258521139877073,-0.003119761594337689,0.7597771883010864,1000
falcon3_7b_instruct,mmlu_all,42,final,0.828971875582045,0.8445241199478488,0.8404730862357982,0.011501210653753202,0.6650300621986389,1000
falcon3_7b_instruct,mmlu_all,42,all,0.828971875582045,0.8315328739057554,0.8288787483702739,-9.312721177112682e-05,0.7590255737304688,1000
falcon3_7b_instruct,mmlu_all,7,early,0.811650214192587,0.7011547774259639,0.8022909294095736,-0.0093592847830134,0.9147356748580933,1000
falcon3_7b_instruct,mmlu_all,7,middle,0.811650214192587,0.7546563605885639,0.8126746135220712,0.0010243993294841713,0.8556970357894897,1000
falcon3_7b_instruct,mmlu_all,7,late,0.811650214192587,0.7904172099087353,0.8009405848388899,-0.010709629353697125,0.7613105773925781,1000
falcon3_7b_instruct,mmlu_all,7,final,0.811650214192587,0.8085770162041349,0.81695846526355,0.005308251070962999,0.6600131988525391,1000
falcon3_7b_instruct,mmlu_all,7,all,0.811650214192587,0.8090892158688769,0.8213354442168002,0.009685230024213176,0.7522546648979187,1000
falcon3_7b_instruct,mmlu_all,123,early,0.762292791953809,0.677872974483144,0.7357515365989942,-0.026541255354814774,0.9183253049850464,1000
falcon3_7b_instruct,mmlu_all,123,middle,0.762292791953809,0.7180108027565655,0.739010989010989,-0.023281802942819896,0.860662579536438,1000
falcon3_7b_instruct,mmlu_all,123,late,0.762292791953809,0.7521419258707394,0.7509778357235986,-0.011314956230210393,0.7638572454452515,1000
falcon3_7b_instruct,mmlu_all,123,final,0.762292791953809,0.7586142670888434,0.7559601415533619,-0.00633265040044706,0.6669549942016602,1000
falcon3_7b_instruct,mmlu_all,123,all,0.762292791953809,0.7547494878003352,0.7505587632706276,-0.011734028683181297,0.75922691822052,1000
falcon3_7b_instruct,mmlu_all,777,early,0.7923263177500467,0.7032501396908176,0.792791953808903,0.0004656360588563002,0.9149483442306519,1000
falcon3_7b_instruct,mmlu_all,777,middle,0.7923263177500467,0.7223877817098155,0.7853883404730863,-0.006937977276960439,0.8587932586669922,1000
falcon3_7b_instruct,mmlu_all,777,late,0.7923263177500467,0.7983795865151798,0.7999627491152914,0.0076364313652447224,0.7612991333007812,1000
falcon3_7b_instruct,mmlu_all,777,final,0.7923263177500467,0.8027565654684299,0.8037344011920283,0.011408083441981631,0.6623830795288086,1000
falcon3_7b_instruct,mmlu_all,777,all,0.7923263177500467,0.7994039858446639,0.8042466008567704,0.011920283106723661,0.7557008266448975,1000
