model_key,dataset,sample_size,seed,feature_set,auroc,pca_explained_variance
falcon3_7b_instruct,mmlu_all,100,123,cheap_confidence_option,0.8240740740740742,
falcon3_7b_instruct,mmlu_all,100,123,cheap_plus_pca_hidden,0.787037037037037,0.9966074824333191
falcon3_7b_instruct,mmlu_all,100,777,cheap_confidence_option,0.6805555555555556,
falcon3_7b_instruct,mmlu_all,100,777,cheap_plus_pca_hidden,0.6342592592592593,0.9909221529960632
falcon3_7b_instruct,mmlu_all,100,2025,cheap_confidence_option,0.9212962962962963,
falcon3_7b_instruct,mmlu_all,100,2025,cheap_plus_pca_hidden,0.8518518518518519,0.9944478273391724
falcon3_7b_instruct,mmlu_all,300,42,cheap_confidence_option,0.8067532467532468,
falcon3_7b_instruct,mmlu_all,300,42,cheap_plus_pca_hidden,0.7200000000000001,0.8355015516281128
falcon3_7b_instruct,mmlu_all,300,7,cheap_confidence_option,0.7646753246753246,
falcon3_7b_instruct,mmlu_all,300,7,cheap_plus_pca_hidden,0.7075324675324676,0.8132842779159546
falcon3_7b_instruct,mmlu_all,300,123,cheap_confidence_option,0.7797402597402597,
falcon3_7b_instruct,mmlu_all,300,123,cheap_plus_pca_hidden,0.7324675324675325,0.8255745768547058
falcon3_7b_instruct,mmlu_all,300,777,cheap_confidence_option,0.758961038961039,
falcon3_7b_instruct,mmlu_all,300,777,cheap_plus_pca_hidden,0.7070129870129869,0.8322668075561523
falcon3_7b_instruct,mmlu_all,300,2025,cheap_confidence_option,0.7974025974025974,
falcon3_7b_instruct,mmlu_all,300,2025,cheap_plus_pca_hidden,0.7599999999999999,0.8225474953651428
falcon3_7b_instruct,mmlu_all,500,42,cheap_confidence_option,0.8249208418699945,
falcon3_7b_instruct,mmlu_all,500,42,cheap_plus_pca_hidden,0.7869249394673123,0.8026746511459351
falcon3_7b_instruct,mmlu_all,500,7,cheap_confidence_option,0.7221084000745019,
falcon3_7b_instruct,mmlu_all,500,7,cheap_plus_pca_hidden,0.6328925311976159,0.7884283065795898
falcon3_7b_instruct,mmlu_all,500,123,cheap_confidence_option,0.7750046563605886,
falcon3_7b_instruct,mmlu_all,500,123,cheap_plus_pca_hidden,0.781151052337493,0.8051115274429321
falcon3_7b_instruct,mmlu_all,500,777,cheap_confidence_option,0.8319985099646117,
falcon3_7b_instruct,mmlu_all,500,777,cheap_plus_pca_hidden,0.7725833488545354,0.8015003800392151
falcon3_7b_instruct,mmlu_all,500,2025,cheap_confidence_option,0.8763270627677407,
falcon3_7b_instruct,mmlu_all,500,2025,cheap_plus_pca_hidden,0.8429875209536226,0.7983607053756714
falcon3_7b_instruct,mmlu_all,1000,42,cheap_confidence_option,0.7831532873905755,
falcon3_7b_instruct,mmlu_all,1000,42,cheap_plus_pca_hidden,0.7683926243248277,0.7569414377212524
falcon3_7b_instruct,mmlu_all,1000,7,cheap_confidence_option,0.7751909107841312,
falcon3_7b_instruct,mmlu_all,1000,7,cheap_plus_pca_hidden,0.7736077481840195,0.75225830078125
falcon3_7b_instruct,mmlu_all,1000,123,cheap_confidence_option,0.804805364127398,
falcon3_7b_instruct,mmlu_all,1000,123,cheap_plus_pca_hidden,0.7794281989197243,0.7522976994514465
falcon3_7b_instruct,mmlu_all,1000,777,cheap_confidence_option,0.8132799403985844,
falcon3_7b_instruct,mmlu_all,1000,777,cheap_plus_pca_hidden,0.8155615570869809,0.7526132464408875
falcon3_7b_instruct,mmlu_all,1000,2025,cheap_confidence_option,0.7886943564909666,
falcon3_7b_instruct,mmlu_all,1000,2025,cheap_plus_pca_hidden,0.7807319798845223,0.7533178925514221
mistral7b_v03,arc_challenge,100,42,cheap_confidence_option,0.8944099378881988,
mistral7b_v03,arc_challenge,100,42,cheap_plus_pca_hidden,0.7826086956521738,0.9856922030448914
mistral7b_v03,arc_challenge,100,7,cheap_confidence_option,0.7329192546583851,
mistral7b_v03,arc_challenge,100,7,cheap_plus_pca_hidden,0.7453416149068324,0.9845528602600098
mistral7b_v03,arc_challenge,100,123,cheap_confidence_option,0.7639751552795031,
mistral7b_v03,arc_challenge,100,123,cheap_plus_pca_hidden,0.7515527950310559,0.9849369525909424
mistral7b_v03,arc_challenge,100,777,cheap_confidence_option,0.6832298136645962,
mistral7b_v03,arc_challenge,100,777,cheap_plus_pca_hidden,0.7267080745341615,0.9842195510864258
mistral7b_v03,arc_challenge,100,2025,cheap_confidence_option,0.7888198757763975,
mistral7b_v03,arc_challenge,100,2025,cheap_plus_pca_hidden,0.8074534161490683,0.9845545291900635
mistral7b_v03,commonsenseqa,100,42,cheap_confidence_option,0.6455026455026456,
